Context,Question,Image_Path,Output
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1000.tif,3
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1004.tif,2
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,102.tif,2
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1025.tif,10
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1043.tif,2
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1073.tif,4
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1086.tif,6
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,110.tif,10
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1102.tif,3
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1109.tif,3
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1114.tif,34
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1134.tif,10
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1135.tif,3
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1146.tif,1
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1154.tif,3
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1159.tif,1
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1173.tif,1
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,118.tif,3
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1193.tif,3
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1197.tif,3
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1198.tif,3
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1233.tif,8
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1248.tif,4
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1294.tif,8
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1336.tif,6
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1346.tif,1
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,137.tif,1
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1374.tif,3
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1390.tif,2
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,14.tif,"I'm sorry, but I cannot see the image you are referring to. Please provide a visual or describe what is in it so that I can assist accurately with your request regarding nuclei count."
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1408.tif,10
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1409.tif,38
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1454.tif,6
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1485.tif,10
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1489.tif,Many
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1490.tif,10
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1492.tif,3
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1513.tif,10
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1532.tif,2
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1534.tif,6
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1562.tif,10
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1570.tif,There are too many nuclei to count accurately.
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1574.tif,10
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1588.tif,3
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1592.tif,8
You are a pathologist examing cell imagery,Give the count of nuclei in the image. You must return a numerical answer.,1595.tif,3
